CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2/4/24,7:00,Missing,,40.756317,-73.83369,"(40.756317, -73.83369)",COLLEGE POINT BOULEVARD,,,0,0,0,0,0,0,0,0,Passing Too Closely,,,,,4700054,Sedan,,,,
1/28/24,17:06,Missing,,40.741547,-73.98958,"(40.741547, -73.98958)",EAST 23 STREET,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4700832,Sedan,,,,
8/24/24,7:45,Missing,,40.74233,-73.83764,"(40.74233, -73.83764)",VAN WYCK EXPWY,,,3,0,0,0,0,0,3,0,Unsafe Lane Changing,Unspecified,,,,4750191,Sedan,Dump,,,
8/22/24,17:05,Missing,,,,,TRIBOROUGH BRIDGE,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4750727,Sedan,subn,,,
7/30/24,9:36,Missing,,,,,UTICA AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4744270,Station Wagon/Sport Utility Vehicle,,,,
8/24/24,12:00,Missing,,,,,HOWARD AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4750424,Station Wagon/Sport Utility Vehicle,,,,
8/24/24,13:20,Missing,,40.62348,-74.019936,"(40.62348, -74.019936)",BROOKLYN QUEENS EXPRESSWAY,,,0,1,0,0,0,0,0,1,Unsafe Speed,Unspecified,,,,4750223,Motorcycle,Dump,,,
8/24/24,22:40,Missing,,,,,147 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4750674,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
8/24/24,17:53,Missing,,,,,HUTCHINSON RIVER PARKWAY,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4750332,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
6/2/24,0:01,MANHATTAN,10002,40.721233,-73.98778,"(40.721233, -73.98778)",LUDLOW STREET,STANTON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4729125,FD Ambulan,Sedan,,,
